19,85,1,""
13,93,1,""
43,95,1,""
49,93,1,""
31.0,91.5,0,"centroid"
80,55,2,""
86,59,2,""
94,60,2,""
86,62,2,""
81,95,2,""
67,62,2,""
75,65,2,""
95,79,2,""
97,60,2,""
84.55555555555556,66.33333333333333,0,"centroid"
57,58,3,""
52,54,3,""
62,46,3,""
59,60,3,""
60,68,3,""
47,73,3,""
56.166666666666664,59.833333333333336,0,"centroid"
76,22,4,""
63,14,4,""
71,19,4,""
69,21,4,""
59,12,4,""
50,15,4,""
75,18,4,""
64,11,4,""
62,10,4,""
65.44444444444444,15.777777777777779,0,"centroid"
90,48,5,""
88,44,5,""
75,31,5,""
81,36,5,""
94,49,5,""
74,44,5,""
83.66666666666667,42.0,0,"centroid"
41,47,6,""
51,40,6,""
47,22,6,""
17,65,6,""
15,22,6,""
56,35,6,""
18,20,6,""
39,59,6,""
32,15,6,""
10,47,6,""
13,45,6,""
30,62,6,""
39,13,6,""
37,42,6,""
31.785714285714285,38.142857142857146,0,"centroid"
85,24,7,""
92,14,7,""
88.5,19.0,0,"centroid"
